Code;Name
2E3B;COUNTRY GAUS$750M7.25%N210404A
2E4B;COUNTRY GAUS$750M7.25%N210404R
2E5B;KORLANDHOUSING EUR75M2%N181007
2E8B;VLL INTL US$100M6.75%N181004
2EAB;TINGYI US$500M3.875%N170620
2EEB;FCL TREA S$50M3.8%N220628
2EFB;HDB S$585M2.505%N240627
2EGB;BRASKEMFIUS$500M5.375%N220502A
2EHB;BRASKEMFIUS$500M5.375%N220502R
2EIB;FPC FINANCE US$400M6%N190628
2EJB;IOI INVES US$600M4.375%N220627
2ELB;CMT MTN HK$1.15B3.76%N220628
2EOB;KEB HANABKUS$700M3.125%170626A
2EPB;KEB HANABKUS$700M3.125%170626R
2ERB;LMIRT CAP S$50M5.875%N170706
2ETB;UOB S$1.2B 3.15% N220711
2EUB;SUBEX US$127.721M5.7% CB170707
2EWB;OCBC S$1B 4% NCPS CLASS M
2EXB;OLAM S$350M5.8%N190717
2EYB;COCA-COLAAM A$30M5.06%N220711
2F2B;GLO A&T US$502.257M10%N190201A
2F3B;GLO A&T US$502.257M10%N190201R
2F4B;TRANSURBAN EUR500M2.5%N201008
2F5B;FIRSTGEN US$250M 6.5% N231009
2F6B;KOREAWESTUS$500M2.875%N181010A
2F7B;KOREAWESTUS$500M2.875%N181010R
2F8B;DEBT&ASSEUS$626.799M1%N251010A
2F9B;DEBT&ASSEUS$626.799M1%N251010R
2FAB;KOREAEWPWR US$500M2.5%N170716A
2FBB;KOREAEWPWR US$500M2.5%N170716R
2FEB;TAKEDAPHARUS$1.5B1.625%170317A
2FFB;TAKEDAPHARUS$1.5B1.625%170317R
2FHB;INDBKKOREAUS$500M2.375%170717A
2FIB;INDBKKOREAUS$500M2.375%170717R
2FKB;SUMITOMITBKUS$1.25B1.8%B170718
2FLB;SUMITOMITBKUS$750M3.2%B220718
2FMB;MIZUHO FINAN2US$1.5B4.2%220718
2FNB;TEMASEKFIUS$1.2B2.375%N230123A
2FOB;TEMASEKFIUS$1.2B2.375%N230123R
2FPB;TEMASEKFIUS$500M3.375%N420723A
2FQB;TEMASEKFIUS$500M3.375%N420723R
2FRB;MAPLETREE TRS$600M5.125%PERSEC
2FSB;LEND LEASE S$275M4.625%N170724
2FVB;NTT FINANCE US$500M1.5%N170725
2FWB;KOREA GAS US$700M2.25%N170725A
2FXB;KOREA GAS US$700M2.25%N170725R
2FYB;CIMB US$350M2.375%N170726
2G0B;KOOKMINBK US$500MF161011A
2G1B;KOOKMINBK US$500MF161011R
2G4B;MARCO POLO S$50M5.75%N191018
2G5B;MITSU UFJ US$500M1.875%N161017
2G6B;CHINAPTYGRPUS$150M13.5%N181016
2G7B;CAPITALANDS$800M1.95%CB231017A
2G8B;CAPITALANDS$800M1.95%CB231017R
2G9B;CANARABANKUS$500M5.25%N181018
2GAB;JABABEKAUS$175M11.75%N170726A
2GBB;JABABEKAUS$175M11.75%N170726R
2GCB;CFG INVES US$300M9.75%N190730A
2GDB;CFG INVES US$300M9.75%N190730R
2GEB;CMT MTN S$150M3.75%N240802
2GFB;SRI LANKA US$1B5.875%B220725A
2GGB;SRI LANKA US$1B5.875%B220725R
2GIB;STATEBKINUS$1.25B4.125%170801A
2GJB;STATEBKINUS$1.25B4.125%170801R
2GKB;WESFARMERSEUR650M2.75%N220802
2GOB;EXP-IMPBKIND US$500M4%N170807
2GPB;KOREADEVBK US$500M2.25%N170807
2GQB;DBS BK S$1B N3.1%230214
2GRB;DBSBANK US$193.6M N370730
2GTB;KEPPEL T&T S$120M2.625%N190813
2GUB;ASCOTT CAP S$300M3.78%N190816
2GVB;INDIANOBK US$500M4.625%N180221
2GWB;NTUC INCOME S$600M3.65%N270823
2GXB;ICICI BK US$750M 4.7%N180221A
2GYB;ICICI BK US$750M 4.7%N180221R
2GZB;MAPLETREECOMMS$160M3.6%200824
2H3B;INDAHCAP S$600M ETC 181024
2H4B;KEB HANABKUS$200M4.625%N231024
2H9B;SK BROADUS$300M2.875%N181029
2HAB;UNIONBKINDUS$350M4.625%N170822
2HBB;CAPITAMALATRS$250M3.7%N220829
2HDB;HDB S$450M1.11%N170830
2HEB;HDB S$500M2.088%N220830
2HFB;KEPPEL CORP S$300M4%N420907
2HJB;JAIPRAKASHUS$150M5.75%CB170908
2HKB;SBSTRANSIT S$150M1.8%N170912
2HLB;COCA-COLAAMA$150M4.5%N180906
2HNB;CAPITALDCOM S$175M2.5%CB170912
2HOB;STARHUB S$220M 3.08%N220912
2HPB;OCBC US$1B3.15% N230311A
2HQB;OCBC US$1B3.15% N230311R
2HRB;LOUISDREYF US$350M8.25%PERSEC
2HTB;SP POWER A US$500M2.7%N220914
2HVB;SP POWER A S$250M3.4%N320919
2HWB;KOREADEVBK US$750M3%N220914
2HZB;SABANA TREA S$80M4.5%CS170924
2I3B;HDFCBANK US$500M 3%N161130
2I4B;KOREADEVBK US$30M 4%N231101
2I6B;DFCCBANK US$100M 9.625%N181031
2I7B;NONGHYUPUS$300M2.625%N181101
2I8B;SBI HOLDINGS JPY30B CB171102
2I9B;VALUESUCCESCNY1.8B4.75%N181104
2IAB;NONGHYUPBKUS$500M2.25%N170919A
2IBB;NONGHYUPBKUS$500M2.25%N170919R
2ICB;PTT GLOBAL US$1B4.25%N220919R
2IDB;PTT GLOBAL US$1B4.25%N220919A
2IEB;EXPIMPBKIN S$250M3.375%N170918
2IGB;AMTEK INDIA US$70M2.5%CB170921
2IJB;KOREAHYDRO US$750M3%N220919A
2IKB;KOREAHYDRO US$750M3%N220919R
2IMB;MAYBANKBHD US$800M3.25%N220920
2INB;CAPITALDTRUS$400M4.076%N220920
2IPB;NANFUNGTRSY US$300M4.5%N220920
2IQB;KASIKORNBANK US$500M3%N180320
2IRB;OLAM US$500M5.75%N170920
2ISB;WINGTAI S$100M 4.5%N220926
2IUB;IDBI BK US$500M4.375%N180326
2IXB;BANGKOKBKUS$800M3.875%N220927A
2IYB;BANGKOKBKUS$800M3.875%N220927R
2IZB;BANGKOKBK US$400M2.75%N180327A
2J1B;VANKEREAS$140M3.275%N171106
2J3B;KOREADEVBK US$50M 3.7%N231106
2J5B;CLIFFORDCAUS$300M1.625%N181105
2J6B;SEMICONDUCTOR US$200M CB181107
2J7B;JBSINVESTMENUS$1B7.75%N201028A
2J8B;JBSINVESTMENUS$1B7.75%N201028R
2J9B;HANA BANK US$300M F161109A
2JAB;BANGKOKBK US$400M2.75%N180327R
2JBB;FANTASIA US$250M 13.75%N170927
2JEB;CH CITIC US$300M3.875%N220928
2JFB;NTPC US$500M4.75%N221003
2JGB;ASCENDASITRUSTS$65M3.8%N181001
2JHB;SMRT CAP S$350M 1.2% N171005
2JKB;SMRT CAP S$100M 2.363% N221005
2JLB;DOOSANINFRUS$500M3.25%CS421005
2JNB;OCBC US$40M3.54% N371009
2JOB;BOCAVIATIONUS$500M2.875%171010
2JPB;INDIANRAILUS$300M3.417%N171010
2JRB;SGSP (AUST) US$500M3.3%230409
2JTB;INDIANOIL S$400M4.1%N221015
2JVB;SYNDICATEBUS$500M4.125%N180412
2JXB;UOB US$500M 2.875%N221017
2JZB;SM INVEST US$500M4.25%B191017
2K0B;HANA BANK US$300M F161109R
2K4B;EX-IMBKKOR US$40M3.73%231107
2K5B;EX-IMBKKOR US$40M4%251107
2K6B;HDB S$1.5B1.875%N171113
2K7B;EX-IM BKKORUSD30M4.03%251108
2K8B;EX-IMBKKOR US$50M4.03%251108
2K9B;WISDOMMARINE US$60M CB181112
2KBB;MIZUHOCORPBKUS$1B2.95%N221017
2KCB;MIZUHOCOBKUS$1.5B1.55%N171017
2KEB;NIPPON LIFE US$2B5%N421018A
2KFB;NIPPON LIFE US$2B5%N421018R
2KIB;OLAM S$500M 6%N221025
2KLB;KOREAEXP US$500M1.875%N171022A
2KMB;KOREAEXP US$500M1.875%N171022R
2KNB;PERUSAHAAN US$1B5.25%N421024A
2KOB;PERUSAHAAN US$1B5.25%N421024R
2KPB;BHARAT PET US$500M4.625%221025
2KQB;PTT PUBLIC US$600M4.5%421025A
2KRB;PTT PUBLIC US$600M4.5%421025R
2KSB;PTTPUBLIC US$500M3.375%221025A
2KTB;PTTPUBLIC US$500M3.375%221025R
2KUB;OUE LTD S$200M4.25%N191030
2KWB;GUJARAT US$15M5.5%CB171030
2KXB;SKTELECM US$700M2.125%N180501A
2KYB;SKTELECM US$700M2.125%N180501R
2L0B;KOREADEVBK US$30M 3.79%N231113
2L1B;EX-IMBKKOR US$50M3.76%231108
2L2B;EX-IMBKKOR US$50M3.66%231106
2L3B;EX-IMBKKOR US$50M3.87%251106
2L4B;EXP-IMPBKK USD35M3.786%231112
2L5B;VINGROUPUS$200M11.625%N180507R
2L6B;VINGROUPUS$200M11.625%N180507A
2L7B;EX-IM BKKORUSD30M4.03%251112
2LBB;NOL S$300M 5.9%N191108
2LCB;WINGLUNG BK US$200M3.5%N221107
2LFB;LI & FUNG US$500M6%PERCAPSEC
2LIB;CIMIC FIN US$500M5.95%N221113A
2LJB;CIMIC FIN US$500M5.95%N221113R
2LKB;HUTCHIWHAMUS$500M3.25%221108A
2LLB;HUTCHIWHAMUS$500M3.25%221108R
2LMB;HUTCHIWHAMUS$1B2%171108A
2LNB;HUTCHIWHAMUS$1B2%171108R
2LOB;AUSDRILL US$300M6.875%N191101A
2LPB;AUSDRILL US$300M6.875%N191101R
2LSB;LMIRT CAP S$75M4.48%N171128
2LXB;PERPENER SBSNUS$1B3.3%N221121A
2LYB;PERPENER SBSNUS$1B3.3%N221121R
2M1B;UOB S$500M4.75%PERPCAPSEC
2M2B;KOREADEVBK CNY150M4.45%N231108
2M5B;BOCAVIATIONRMB1B4.5%181120
2M6B;VALUESUCCESCNY1.5B4%N161121
2M7B;SEMBCORPFIN S$200M3.64%N240527
2M8B;ICICI BK US$750M 4.8%N190522R
2M9B;ICICI BK US$750M 4.8%N190522A
2MAB;CMT MTN HK$885M3.28%N230227
2MBB;STUDIOCITY US$825M8.5%N201201A
2MCB;STUDIOCITY US$825M8.5%N201201R
2MDB;GTL INFRA US$111.74M ZCB171109
2MEB;GTL INFRA US$207.546M FC171109
2MFB;SINTEX IND US$140M7.5%CB171129
2MGB;APTPIPE GBP350M4.25%N241126
2MHB;BAIDU INC. US$750M2.25%N171128
2MIB;BAIDU INC. US$750M3.5%N221128
2MJB;WINGTAIPROP S$170M4.25%N221129
2MKB;ICICI BK US$250M 4.7%N180221TR
2MLB;GOVOFMONGOUS$500M4.125%180105A
2MMB;GOVOFMONGOUS$500M4.125%180105R
2MNB;GOVOFMONGOUS$1B5.125%221205A
2MOB;GOVOFMONGOUS$1B5.125%221205R
2MQB;SHUIONDUS$500M10.125%PERCAPSEC
2MSB;KEPLANDFS US$250M3.259%N191211
2MTB;COMPETTEAMUS$650M2.125%N171213
2MXB;ZOOMLION US$600M6.125%N221220A
2MYB;ZOOMLION US$600M6.125%N221220R
2N0B;BANYAN S$50M5.35%N181126
2N1B;BAVARIAN SKY US$250M F190918
2N4B;FUFENG RMB975M3%CB181127
2N5B;INTLFINCORP INR10B7.75%161203
2N7B;COCA-COLA AM A$100M5%N201125
2N8B;DBS GROUP S$805M4.7%PERPCAPSEC
2N9B;KOREAEWPWRUS$500M2.625%181127R
2NBB;KOREADEVBK EUR20M1.17%N171215
2NCB;OCBC US$40M3.5% N371228
2NEB;COUNTRY GARUS$750M7.5%N230110A
2NFB;COUNTRY GARUS$750M7.5%N230110R
2NGB;SHIMAOPROPUS$800M6.625%N200114
2NHB;ESTATESKYUS$150M6.5%N180116
2NIB;ICTSI TREAUS$300M4.625%N230116
2NKB;ICICI BK S$225M3.65%N200114
2NLB;EXP-IMPBKINDUS$750M4%230114
2NMB;PWRGRID US$500M 3.875% N230117
2NOB;METROPO LIGUS$450M5.25%N180117
2NRB;SUMITOMITBK US$750M1.5%B180118
2NSB;SUMITOMITBK US$500M3%B230118
2NTB;SKTEL AUD300M 4.75%N171117
2NVB;FANTASIA US$250M 10.75%N200122
2NZB;KOREADEVBKUS$500M1.5%N180122
2O0B;KOREAEWPWRUS$500M2.625%181127A
2O1B;TRANSASIA AIR US$75M CB181129
2O2B;EXP-IMPBKK CNY300M4.50%N231106
2OAB;HONGFOKS$100M4.75%N180124
2OBB;JGSH PH US$750M4.375%N230123
2OCB;THAIOILPUBUS$500M3.625%230123A
2ODB;THAIOILPUBUS$500M3.625%230123R
2OEB;THAIOILPUBUS$500M4.875%430123A
2OFB;THAIOILPUBUS$500M4.875%430123R
2OHB;LOTTE KRW321.2B CB180124
2OIB;INDOENER US$500M6.375%N230124A
2OJB;INDOENER US$500M6.375%N230124R
2OKB;COCA-COLAAMA$100M4.125%N180206
2OLB;CENT CHINA US$200M8%N200128
2OOB;SHINHANBKUS$350M1.875%N180730A
2OPB;SHINHANBKUS$350M1.875%N180730R
2OQB;SIME DARBY US$400M3.29%S230129
2ORB;SIMEDARBY US$400M2.053%S180129
2OSB;HDB S$1.2B1.23%N180130
2OTB;LONGFOR US$500M6.75%N230129
2OVB;SPARKLE US$400M6.875%N200130
2P8B;OCBC US$45M N381203
2PAB;CHINAPR HK$1.028B7.25%CB180204
2PDB;RELIANCEIN US$800M5.875%PERP A
2PEB;RELIANCEIN US$800M5.875%PERP R
2PFB;KORSOUTHPWRUS$300M1.875%180205
2PGB;MCE FIN US$1B5%N210215A
2PHB;MCE FIN US$1B5%N210215R
2PIB;GLOBAL A&T US$625M10%N190201A
2PJB;GLOBAL A&T US$625M10%N190201R
2PKB;BOCAVIATIONUS$50M4.3%230206
2PLB;HAINANAIR US$500M3.625%B200207
2PMB;FAR EASTERN US$150M CB180207
2PNB;KOREANATOIL EUR37M2.4%N230204
2POB;MIE HLDG US$200M6.875%N180206
2PPB;PT GAJAHT US$500M7.75%N180206A
2PQB;PT GAJAHT US$500M7.75%N180206R
2PTB;MINERVA US$850M7.75%N230131A
2PUB;MINERVA US$850M7.75%N230131R
2PVB;DBS BK US$30M N430207
2PWB;ESAL GMBHUS$500M6.25%230205R
2PXB;ESAL GMBHUS$500M6.25%230205A
2Q2B;XINYUANREAL US$200M13%N190606
2Q3B;TAKASHIMAYA YEN25B CB201211
2Q4B;TAKASHIMAYA YEN40B CB181211
2Q5B;PACNET US$350M 9%N181212R
2Q6B;PACNET US$350M 9%N181212A
2Q7B;KOREADEVBK US$50M 3.8%N231212
2Q8B;CMT MTN S$100M3.15%N201218
2Q9B;PANDAFUNDINGCNY910M3.95%161217
2QCB;ENN ENERGY US$500M CB180226
2QJB;BANKTOKYO US$750M1.65%N180226A
2QKB;BANKTOKYO US$750M1.65%N180226R
2QLB;BANKTOKYO US$500M3.2%N230226A
2QMB;BANKTOKYO US$500M3.2%N230226R
2QNB;EXPIMPBKKOR US$500M1.75%180227
2QOB;MITSUBISHIUFJ US$500M2%N180228
2QPB;HDFC BANK US$500M3%N180306
2QQB;KOREAHSE US$500M1.625%B180915A
2QRB;KOREAHSE US$500M1.625%B180915R
2QSB;BHARTIAIRTELUS$1B5.125%230311A
2QTB;BHARTIAIRTELUS$1B5.125%230311R
2QUB;COCA-COLAAMA$50M4.5%N180906T
2QVB;KRUNGTHAIBK US$500M2.25%180911
2QWB;PCCW-HKTCAP US$500M3.75%230308
2QXB;KEB HANABKHK$310M2%N180304
2QYB;KUREHA CORP YEN15B CB180314
2QZB;WINGTAI S$100M 4.25%N230315
2R0B;KOREADEVBK US$20M 3.8%N231218
2R1B;YAMAGUCHI US$300M ZB181220
2R2B;KOREADEVBK NOK300M 4% N200423
2R3B;TOPPAN PRINTING YEN40BZB191219
2R5B;KOREADEVBK US$30M 3.68%N231126
2R6B;MIAT MONGOLIAN US$20M F181223
2R7B;KOREADEVBK US$20M3.66%N231126
2R8B;KOREADEVBK CNY210M4.1%N231218
2R9B;KOREADEVBK USD20M3.81%N231218
2RAB;KOOKMINBK US$50M0.74%N140317
2RCB;MAKINO MILLING YEN12B CB180319
2RDB;NOBLEGROUP US$400M3.625%180320
2RGB;HONGFOK S$120M4.75%190322
2RJB;STATSCHUS$611.152M4.5%N180320A
2RKB;STATSCHUS$611.152M4.5%N180320R
2RLB;BKOFINDIAUS$500M3.625%N180921A
2RMB;BKOFINDIAUS$500M3.625%N180921R
2ROB;MIZUHOCORPBKUS$1B1.85%N180321
2RPB;MIZUHOCORPBKUS$500M3.5%N230321
2RQB;GEMDALE CNY2B 5.625%B180321
2RSB;AMCOR EUR300M2.75%230322
2RTB;IDBI BK US$500M3.75%N190125
2RUB;AANJANEYA US$40M5.44%CB180322
2RYB;SUMITOMITBKUS$650M1.8%N180328R
2RZB;SUMITOMITBKUS$650M1.8%N180328A
2S0B;SRILANKA US$1B6%B190114A
2S1B;SRILANKA US$1B6%B190114R
2S4B;SUMITOMBK US$500M3.95%N240110
2S5B;SUMITOMITBK US$1B2.45%N190110
2S7B;EXP-IMP BK KOR USD750M F170114
2S8B;EXP-IMPBKK USD750M4%240114
2S9B;INDONESIAUS$2B6.75%440115A
2SBB;ALAMSYNERGYUS$235M6.95%200327A
2SCB;ALAMSYNERGYUS$235M6.95%200327R
2SDB;STARENERGUS$350M6.125%N200327R
2SEB;STARENERGUS$350M6.125%N200327A
2SFB;SOMPOJPN US$1.4B5.325%N730328A
2SGB;SOMPOJPN US$1.4B5.325%N730328R
2SHB;AE ROTOR US$647M4.969%N180328
2SIB;FILINVEST US$300M4.25%N200402
2SJB;KEB HANABKUS$350M2%N180402
2SKB;TBGGLOBALUS$300M4.625%N180403A
2SLB;TBGGLOBALUS$300M4.625%N180403R
2SMB;PTBKRAKYAT US$500M2.95%N180328
2SNB;KEPPEL GMTN US$200MF200406
2SQB;TSMCGLOUS$1.15B1.625%N180403A
2SRB;TSMCGLOUS$1.15B1.625%N180403R
2STB;EXP-IMPBKINDAUD200M5.76%180405
2SXB;LINC ENERGY US$200M7%C180410
2SYB;INDONESIAUS$1.5B3.375%N230415A
2SZB;INDONESIAUS$1.5B3.375%N230415R
2T0B;INDONESIAUS$2B6.75%440115R
2T1B;INDONESIAUS$2B5.875%240115A
2T2B;INDONESIAUS$2B5.875%240115R
2T3B;KAISA GRPUS$250M8.875%180319TR
2T5B;WUZHOUINTL USD200M13.75%180926
2T6B;HKLANDFIN US$400M4.625%N240116
2TAB;INDONESIAUS$1.5B4.625%N430415A
2TBB;INDONESIAUS$1.5B4.625%N430415R
2TCB;SWIBER S$160M 7.125%N170418
2TDB;BANKCEYLONUS$500M5.325%180416
2TEB;CWT S$100M3.9%N190418
2TFB;MEGAWORLD US$250M4.25%N230417
2THB;STATEBKINDUS$1B3.25%180418R
2TIB;STATEBKINDUS$1B3.25%180418A
2TKB;TRAFIGURA US$500M 7.625%PERSEC
2TNB;PARK24 YEN20B CB180426
2TOB;THE SHIZUOKA BKUS$500MCB180425
2TQB;EZRA S$150M 4.875%N180424
2TSB;SOFTBANK US$2.485B4.5%N200415A
2TTB;SOFTBANK US$2.485B4.5%N200415R
2TUB;SOFTBANK EUR625M4.625%N200415A
2TVB;SOFTBANK EUR625M4.625%N200415R
2TXB;SANMIGUEL US$800M4.875%N230426
2TYB;EXP-IMPBKKAUD100M4.75%190424
2TZB;UNIONBKINDUS$350M3.625%N181025
2U3B;TDBMONGOLIA CNY700M10%N170121
2U4B;KOREADEVBK USD750M3.75%N240122
2U5B;KOREADEVBK USD750M F170122
2U6B;SHIMAOPROPUS$600M8.125%N210122
2UAB;ARMFWHI S$111M2.635%B200429
2UBB;DAEGU BK US$300M2.25%N180429
2UDB;ABJA INV S$300M 4.95%N230503
2UEB;FTLCAP US$250M4.125%N230425
2UFB;EXP-IMPBKKEUR750M2%N200430
2UGB;RAFFLESEDU $50M5.9%N180503
2UHB;KOREAREUS$500M2.125%N180502A
2UIB;KOREAREUS$500M2.125%N180502R
2UKB;KOREADEVBK AUD100M4.5%N180430
2UMB;BOCAVIATIONUS$350M4.375%230502
2UOB;COMFEED FIN US$225M6%N180502A
2UPB;COMFEED FIN US$225M6%N180502R
2URB;ONGCVIDESH US$300M2.5%N180507
2USB;ONGCVIDESH US$500M3.75%N230507
2UTB;TRIKOMSEL S$115M 5.25%N160510
2UUB;BANCO BILBAO US$1.5B NCCPS
2UVB;HYUNDAIMERCH US$117.6M1%180509
2UXB;ASIA CEMENT US$220M CB180513
2UYB;HUTCHIWHAM EUR1.75B PERCAPSEC
2UZB;HARVEST US$630M2.125%N180514A
2V1B;KORNATOILUSD500M2.75%N190123A
2V2B;KORNATOILUSD500M2.75%N190123R
2V3B;KOREANATOILUSD500M4%N240123A
2V4B;KOREANATOILUSD500M4%N240123R
2V6B;BKBARODA US$750M4.875%N190723A
2V7B;BKBARODA US$750M4.875%N190723R
2VAB;HARVEST US$630M2.125%N180514R
2VBB;OXLEY HLDG S$150M 5.1%N170516
2VEB;FIRST REIT S$100M4.125%N180522
2VFB;OTTAWAH US$365M5.875%N180516A
2VGB;OTTAWAH US$365M5.875%N180516R
2VIB;PT PERTAMUS$1.625B4.3%N230520A
2VJB;PT PERTAMUS$1.625B4.3%N230520R
2VKB;PT PERTUS$1.625B5.625%N430520A
2VLB;PT PERTUS$1.625B5.625%N430520R
2VMB;ROLTA, LLCUS$200M10.75%180516A
2VNB;ROLTA, LLCUS$200M10.75%180516R
2VOB;EZION S$110M 4.7% N190522
2VRB;BARMINCO FIN US$485M 9%N180601
2VSB;EXIMBKKOR NOK$500M3%180522A
2VTB;EXIMBKKOR NOK$500M3%180522R
2VUB;FANTASIA RMB1B 7.875%N160527
2VVB;VIBRANT GROUPS$100M4.6%N170529
2VWB;HDB S$500M1.368%N180529
2VYB;KOREADEVBK EUR500M 1.5%N180530
2W0B;EZION S$50M 4.85% N190123
2W1B;TAIYO YUDEN YEN20BCB210127
2W2B;EXP-IMPBKK CNY500M3.625%190127
2W3B;MIDAS HLDG S$85M 5.75% N170203
2W4B;HDB S$600M3.948%N290129
2W5B;KOOKMINBK US$500MF170127A
2W6B;KOOKMINBK US$500MF170127R
2W8B;CHINASOUTHUS$400M8.25%N190129
2WCB;CENT CHINA US$400M6.5%N180604
2WDB;VEDANTA US$1.2B6%B190131A
2WEB;VEDANTA US$1.2B6%B190131R
2WFB;VEDANTA US$500M7.125%B230521A
2WGB;VEDANTA US$500M7.125%B230521R
2WIB;MAPLETREETREAHK$300M 3%N200605
2WMB;COCA-COLAAMA$125M4.375%N200604
2WQB;KOREA GAS EUR38M3.015%N280610
2WSB;CAPITALANDS$650M1.85%CB200619A
2WTB;CAPITALANDS$650M1.85%CB200619R
2WUB;THEISRAELUS$600M5.625%N180621A
2WVB;THEISRAELUS$600M5.625%N180621R
2WWB;THEISRAELUS$500M6.875%N230621A
2WXB;THEISRAELUS$500M6.875%N230621R
2WYB;KOREANATOIL EUR60M3%N250624
2X0B;ALAMSYNERGYUS$225M9%190129A
2X1B;ALAMSYNERGYUS$225M9%190129R
2X2B;VALUESUCCESCNY750M4.95%N190129
2X3B;VALUESUCCESCNY850M4.15%N170129
2X5B;SUNTECREIT S$200M3.35%N200210
2X6B;FAVORSEA US$150M11.75%190204A
2X7B;FAVORSEA US$150M11.75%190204R
2X8B;EXP-IMPBKK USD50M4.14%260128
2X9B;EXP-IMPBKK USD50M4.14%260203
2XAB;HENGAN INT HK$5.434B CB180627
2XBB;KOREANATOIL EUR50M3.09%N230703
2XCB;KOREA GAS EUR50M3%N230705
2XEB;BLUE OCEAN US$325M 2%N201231
2XFB;REPUBINDOUS$1B5.375%231017A
2XGB;REPUBINDOUS$1B5.375%231017R
2XHB;UOB S$850M4.9%PERPCAPSEC
2XIB;HAITONGHK$776M1.25%CB180718
2XKB;SUMITOMITBKUS$500M2.5%B180719
2XLB;SUMITOMITBKUS$700M3.95%B230719
2XNB;KINGSOFT HK1.356B3%CB180723
2XPB;AUSNETSHPLEU$500M2.375%N200724
2XQB;JAP TOB US$500M 2.1%N180723R
2XRB;JAP TOB US$500M 2.1%N180723A
2XUB;BANKOFIWATE US$100MCB180725
2XXB;PACEMER US$200M 9.75%N180725
2XYB;SUMITOMOFOREST YEN20BCB180824
2XZB;KOREAGAS US$500M2.875%N180729R
2Y0B;MMUSTAFA S$75M4.75%170206
2Y1B;KOREAMIDLD USD300M2.75%N190211
2Y2B;KOREAGAS US$500M3.875%N240212A
2Y3B;KOREAGAS US$500M3.875%N240212R
2Y5B;EXP-IMPBKK USD250MF170512
2Y6B;EXP-IMPBKK USD30M4%260213
2Y7B;TRAFIGURA S$200M 7.5%PERSEC
2Y8B;EXIMSUKUKM USD300M2.874%190219
2Y9B;BANCO BILBAO EUR1.5B PER SEC
2YAB;KOREAGAS US$500M2.875%N180729A
2YBB;BANYAN S$70M5.75%N180731
2YCB;TAT HONG S$100M 4.5%N180731
2YEB;INDIAN OILUS$500M 5.75%N230801
2YFB;SWIBER CAP S$150M6.5%TC180802
2YGB;BARCLAYS BANK US$10MF170831
2YJB;KOREADEVBK AUD25M F180730
2YMB;BAIDU INC. US$1B3.25%N180806
2YOB;FORTISHEALTHCAREUS$30M F180808
2YRB;SK INNOVATUS$350M3.625%N180814
2YTB;EXP-IMP BK KOR AUD25M F180808
2YUB;EZION S$60M 4.6% N180820
2YWB;SEMBCORP IND S$200M PERSEC
2YXB;KOREADEVBKUS$500M2.875%N180822
2YZB;NAM CHEONG S$90M5%N170828
2Z0B;EXP-IMP BK KOR USD250M F170814
2Z1B;MITSU UFJ US$300MF190220
2Z2B;STARHILLGBLMTNS$100M3.5%210226
2Z5B;BOCAVIATIONCNY300M5.5%240226
2Z6B;ASICS CORP YEN30BCB190303
2Z7B;EXP-IMPBKK AUD150M5.125%200225
2Z8B;SHUIONDEVRMB2.5B6.875%N170226
2Z9B;INDIANRAILUS$500M3.917%N190226
2ZDB;ADVANCED SEMI US$400M CB180905
2ZEB;COCA-COLAAMA$25M4.375%N200604T
2ZFB;AUCKLAND COU NOK1.4B 4%N280909
2ZGB;CENTRALNIPP US$1B2.369%N180910
2ZIB;BANKTOKYO US$500M4.1%N230909R
2ZJB;BANKTOKYO US$500M4.1%N230909A
2ZMB;BANKTOKYO US$1B2.7%N180909R
2ZNB;BANKTOKYO US$1B2.7%N180909A
2ZQB;KOREA US$1B 3.875%N230911
2ZRB;RE1LIMITED EUR500M3.25%N230911
2ZSB;EXP-IMP BKKOR CHF45M2.1%231230
2ZTB;EXP-IMP BKKOR CHF5M2.1%231230
2ZUB;EXP-IMPBKK AUD100M5.375%190912
2ZVB;EX-IMBKKORNOK300M4.5075%230911
30AB;DELTA INV US$100M3%EB200526
30BB;CHINAAOYUAUS$250M10.875%180526
30CB;EXIMBKKOR US$50M2.62%N230528
30DB;PERUSAHAANUS$2B4.325%TC250528A
30EB;PERUSAHAANUS$2B4.325%TC250528R
30FB;EXIMBKKOR US$50M2.675%N230527
30GB;SINOSTRONG CNY1B4%N180528
30HB;TRANSURBAN EUR500M2%N250828
30IB;FIRST SPONSOR S$50M4%N180604
30JB;ASCENDASREIT S$150M3.2%N220603
30KB;CENTURYSUNSHINS$75M7.2%N180604
30LB;SHUIONDEV US$225M 7.5%PERSEC
30MB;FANTASIA US$200M11.5%N180601
30NB;SRILANKA USD650M6.125%B250603A
30OB;SRILANKA USD650M6.125%B250603R
30PB;BANYAN S$100M4.85%N200605
30QB;GARUDASUK US$500M5.95%TC200603
30RB;EX-IMBKKOR US$50M2.41%N230511
30SB;T&D HLDG YEN30B B200605
30TB;GLP US$1B 3.875%N250604
30UB;EXP-IMPBKKORCNY1.25B3.6%180610
30WB;WOORIBANK USD500M5%N450610A
30XB;WOORIBANK USD500M5%N450610R
30YB;THREEGORGESUS$700M 3.7%250610A
30ZB;THREEGORGESUS$700M 3.7%250610R
31AB;BHARTIAIRLTDUS$1B4.375%250610A
31BB;BHARTIAIRLTDUS$1B4.375%250610R
31CB;KEONG HONG S$50M6%N180615
